Produktname,Kategorie,Unterkategorie,Preis_EUR,Startdatum,Enddatum,Supermarkt
Gazi Grill- und Pfannenkäse (versch. Sorten 2x100g),Lebensmittel,Milchprodukte/Käse,1.99,2025-06-16,2025-06-21,Lidl
Dr. Oetker Ristorante Pizza/Bistro Flammkuchen (Tiefkühlung versch. Sorten 820g/780g/720g/710g/690g/640g/530g Lidl Plus),Lebensmittel,Tiefkühlkost/Pizza,3.79,2025-06-16,2025-06-21,Lidl
Milbona 4-Käse-Mix gerieben (200g),Lebensmittel,Milchprodukte/Käse,1.69,2025-06-16,2025-06-21,Lidl
Landliebe Butter (rahmig-frisch 250g),Lebensmittel,Milchprodukte/Butter,2.29,2025-06-16,2025-06-21,Lidl
Müller Milchreis (versch. Sorten 200g Lidl Plus),Lebensmittel,Milchprodukte/Desserts,0.49,2025-06-16,2025-06-21,Lidl
Layenberger High Protein Mousse (versch. Sorten 200g),Lebensmittel,Desserts/Sportnahrung,1.29,2025-06-16,2025-06-21,Lidl
Kinder Joy (3er-Pack 60g),Lebensmittel,Süßwaren,2.88,2025-06-16,2025-06-21,Lidl
Halloren O's (versch. Sorten 125g Lidl Plus),Lebensmittel,Süßwaren,1.11,2025-06-16,2025-06-21,Lidl
Dr. Oetker Kuchensnack/Kleine Kuchen (4er-Pack versch. Sorten 140g),Lebensmittel,Backwaren/Kuchen,1.99,2025-06-16,2025-06-21,Lidl
Granini Trinkgenuss (versch. Sorten 1l zzgl. -_25 Pfand),Getränke,Säfte,1.69,2025-06-16,2025-06-21,Lidl
Fin Carré Tafelschokolade (versch. Sorten 100g Lidl Plus),Lebensmittel,Süßwaren,0.84,2025-06-16,2025-06-21,Lidl
Schwip Schwap/7UP (versch. Sorten 1.25l zzgl. -_25 Pfand Lidl Plus),Getränke,Softdrinks,0.88,2025-06-16,2025-06-21,Lidl
Jägermeister BBQ Edition (35% vol 700ml mit Sonnenbrille gratis),Getränke,Alkoholische Getränke/Spirituosen,11.99,2025-06-16,2025-06-21,Lidl
Nivea Sun Sonnenschutz (versch. Sorten LSF 50/50+ 50ml/250ml/200ml),Drogerie,Sonnenpflege,8.49,2025-06-16,2025-06-21,Lidl
FuzeTea (versch. Sorten 1.25l zzgl. -_25 Pfand Lidl Plus),Getränke,Eistee,1.29,2025-06-16,2025-06-21,Lidl
Johnnie Walker Red Label Blended Scotch Whisky (40% vol 0.7l),Getränke,Alkoholische Getränke/Spirituosen,10.99,2025-06-16,2025-06-21,Lidl
Becherovka (38% vol 0.7l),Getränke,Alkoholische Getränke/Spirituosen,9.99,2025-06-16,2025-06-21,Lidl
Somersby Zero Apple Cider (0.33l zzgl. -_25 Pfand),Getränke,Alkoholische Getränke/Cider,1.29,2025-06-16,2025-06-21,Lidl
Gin Sul (versch. Sorten 500ml mit gratis Copa Glas),Getränke,Alkoholische Getränke/Spirituosen,29.99,2025-06-16,2025-06-21,Lidl
Hawesta Heringsfilets (versch. Sorten 200g Lidl Plus),Lebensmittel,Fischkonserven,1.11,2025-06-16,2025-06-21,Lidl
Lorenz Saltletts (versch. Sorten 250g/175g Lidl Plus),Lebensmittel,Snacks/Salzgebäck,1.19,2025-06-16,2025-06-21,Lidl
Swiffer Staubmagnet Kit (Griff und 7 Tücher),Haushalt,Reinigungsmittel,4.95,2025-06-16,2025-06-21,Lidl
Sagrotan Desinfektion Wäsche-Hygienespüler (versch. Sorten 3l),Haushalt,Waschmittel/Zusätze,5.99,2025-06-16,2025-06-21,Lidl
Hilcona Teigwaren Mega-Pack (versch. Sorten 750g),Lebensmittel,Pasta/Fertiggerichte,3.29,2025-06-16,2025-06-21,Lidl
Geflügel-Bratwurst (720g),Lebensmittel,Fleisch/Wurst,5.99,2025-06-16,2025-06-21,Lidl
Popp Brot-Aufstrich (versch. Sorten 250g),Lebensmittel,Brotaufstrich/Feinkost,1.99,2025-06-16,2025-06-21,Lidl
Nestlé Smarties Joghurt XXL (6er-Pack 6x120g),Lebensmittel,Milchprodukte/Joghurt,3.79,2025-06-16,2025-06-21,Lidl
Langnese Magnum Mini (Tiefkühlung 10er-Pack versch. Sorten 550ml),Lebensmittel,Tiefkühlkost/Eis,3.79,2025-06-16,2025-06-21,Lidl
Kinder Cards (Family Pack 10er-Pack 256g),Lebensmittel,Süßwaren,4.59,2025-06-16,2025-06-21,Lidl
Beck's Pils (0.568l zzgl. -_25 Pfand),Getränke,Alkoholische Getränke/Bier,0.79,2025-06-16,2025-06-21,Lidl
Dr. Best Classic Zahnbürste (mit Schwingkopf mittel 3 Stück),Drogerie,Zahnpflege,3.49,2025-06-16,2025-06-21,Lidl
Floralys Classic Küchentücher (8 Rollen 2-lagig),Haushalt,Papierwaren,3.99,2025-06-16,2025-06-21,Lidl
Softlan Weichspüler XXL (versch. Sorten 2.85l),Haushalt,Waschmittel/Zusätze,3.49,2025-06-16,2025-06-21,Lidl
Milbona Mozzarella gerieben (250g),Lebensmittel,Milchprodukte/Käse,1.69,2025-06-16,2025-06-21,Lidl
Milbona Goldessa Frischkäse (versch. Sorten 175g),Lebensmittel,Milchprodukte/Käse,0.99,2025-06-16,2025-06-21,Lidl
Milbona Mascarpone (250g Lidl Plus),Lebensmittel,Milchprodukte/Käse,1.79,2025-06-16,2025-06-21,Lidl
Milbona Mini Mozzarella (versch. Sorten 125g Abtropfgewicht),Lebensmittel,Milchprodukte/Käse,1.11,2025-06-16,2025-06-21,Lidl
Milbona Original Griechischer Feta (200g),Lebensmittel,Milchprodukte/Käse,1.89,2025-06-16,2025-06-21,Lidl
Milbona Halloumi g.U. (225g Lidl Plus),Lebensmittel,Milchprodukte/Käse,2.19,2025-06-16,2025-06-21,Lidl
Milbona Käse Aufschnitt (versch. Sorten 250g),Lebensmittel,Milchprodukte/Käse,1.79,2025-06-16,2025-06-21,Lidl
Milbona Emmentaler Scheiben (250g),Lebensmittel,Milchprodukte/Käse,2.19,2025-06-16,2025-06-21,Lidl
Milbona Gouda Holland mittelalt (am Stück 450g),Lebensmittel,Milchprodukte/Käse,3.69,2025-06-16,2025-06-21,Lidl
McEnnedy Streuselkuchen (Versch. Sorten je 450g),Lebensmittel,Backwaren,2.79,2025-06-19,2025-06-21,Lidl
McEnnedy Ahornsirup (Je 250ml),Lebensmittel,Brotaufstrich/Süßungsmittel,3.39,2025-06-19,2025-06-21,Lidl
McEnnedy Waffel/Pancake Backmischung (Je 222g/200g),Lebensmittel,Backzutaten,1.29,2025-06-19,2025-06-21,Lidl
McEnnedy Buttermilch Pancakes (Versch. Sorten je 540g Lidl Plus 2.49),Lebensmittel,Tiefkühlkost,2.99,2025-06-19,2025-06-21,Lidl
McEnnedy Muffins XXL (Versch. Sorten je 540g),Lebensmittel,Backwaren,2.69,2025-06-19,2025-06-21,Lidl
McEnnedy Pastrami (Versch. Sorten je 100g),Lebensmittel,Fleisch/Wurstwaren,1.99,2025-06-19,2025-06-21,Lidl
McEnnedy Partybällchen (Versch. Sorten je 280g),Lebensmittel,Fleisch/Fertiggerichte,2.79,2025-06-19,2025-06-21,Lidl
McEnnedy Delikatess Bacon XXL (Je 200g),Lebensmittel,Fleisch/Wurstwaren,2.49,2025-06-19,2025-06-21,Lidl
McEnnedy Sandwich Scheiben (Je 200g),Lebensmittel,Milchprodukte/Käse,2.79,2025-06-19,2025-06-21,Lidl
McEnnedy Baked Beans (Versch. Sorten je 400g),Lebensmittel,Konserven,1.19,2025-06-19,2025-06-21,Lidl
McEnnedy Milchshake (Versch. Sorten je 230ml),Lebensmittel,Milchprodukte/Getränke,0.65,2025-06-19,2025-06-21,Lidl
McEnnedy Orangensaft XXL (Je 2l),Getränke,Saft,4.99,2025-06-19,2025-06-21,Lidl
McEnnedy Stuffed Crust Pizza (Versch. Sorten je 500g/450g Lidl Plus 2.99),Lebensmittel,Tiefkühlkost,3.49,2025-06-19,2025-06-21,Lidl
McEnnedy Curlies XXL (Je 1.2kg),Lebensmittel,Tiefkühlkost,3.49,2025-06-19,2025-06-21,Lidl
McEnnedy Pulled Pork (Versch. Sorten je 550g),Lebensmittel,Fleisch/Fertiggerichte,4.99,2025-06-19,2025-06-21,Lidl
McEnnedy Spare Ribs Smoky BBQ (Je 600g),Lebensmittel,Fleisch/Fertiggerichte,5.99,2025-06-19,2025-06-21,Lidl
Block House Cheese Burger (Je 320g),Lebensmittel,Tiefkühlkost,5.99,2025-06-19,2025-06-21,Lidl
Takis Dragon Sweet Chilli (Je 100g),Lebensmittel,Snacks,1.99,2025-06-19,2025-06-21,Lidl
Dovgan Plombir Eis Burger/Donuts (Eis Burger versch. Sorten je 4x200ml/4x85g),Lebensmittel,Tiefkühlkost/Eis,3.59,2025-06-19,2025-06-21,Lidl
Coca Cola Fridgepack (18x0.33l),Getränke,Softdrinks,8.49,2025-06-19,2025-06-21,Lidl
McEnnedy American Style Chicken Nuggets (Mit Curry-Dip je 500g),Lebensmittel,Tiefkühlkost,3.99,2025-06-19,2025-06-21,Lidl
McEnnedy Chicken Wings (Mariniert versch. Sorten je 750g),Lebensmittel,Tiefkühlkost,4.29,2025-06-19,2025-06-21,Lidl
McEnnedy Burger (Versch. Sorten je 750g/690g),Lebensmittel,Fleisch/Fertiggerichte,5.99,2025-06-19,2025-06-21,Lidl
McEnnedy Snack Saucen (Versch. Sorten je 348g/324g/315g),Lebensmittel,Saucen/Dips,1.69,2025-06-19,2025-06-21,Lidl
McEnnedy Lasagne (Versch. Sorten je 1kg),Lebensmittel,Fertiggerichte,4.49,2025-06-19,2025-06-21,Lidl
McEnnedy Tex Mex Reibekäse (Versch. Sorten je 200g),Lebensmittel,Milchprodukte/Käse,1.99,2025-06-19,2025-06-21,Lidl
Alesto Selection Kalifornische Pistazien XXL (Geröstet & gesalzen je 500g),Lebensmittel,Snacks/Nüsse,5.99,2025-06-19,2025-06-21,Lidl
McEnnedy Popcorn süß (Je 250g),Lebensmittel,Snacks,2.49,2025-06-19,2025-06-21,Lidl
Maker's Mark Kentucky Straight Bourbon Whisky (45% vol je 0.7l nur online),Getränke,Spirituosen,19.99,2025-06-19,2025-06-21,Lidl
It's chickenlicious! Chicken Bucket (750g),Lebensmittel,Fertiggerichte,7.99,2025-06-18,2025-06-21,Lidl
It's chickenlicious! Crispy Fried Chicken (Versch. Sorten je 300g/250g),Lebensmittel,Fertiggerichte,2.49,2025-06-18,2025-06-21,Lidl
McEnnedy Crunchy Chicken Bucket (Versch. Sorten je 650g),Lebensmittel,Tiefkühlkost,5.99,2025-06-18,2025-06-21,Lidl
McEnnedy Football Box (Je 850g),Lebensmittel,Tiefkühlkost,4.99,2025-06-18,2025-06-21,Lidl
McEnnedy Nudelauflauf Mac & Cheese (Je 1kg),Lebensmittel,Fertiggerichte,3.49,2025-06-18,2025-06-21,Lidl
McEnnedy Riesen Erdnussflips (Je 450g),Lebensmittel,Snacks,1.79,2025-06-18,2025-06-21,Lidl
McEnnedy Pommes-Snack (Versch. Sorten je 175g),Lebensmittel,Snacks,1.29,2025-06-18,2025-06-21,Lidl
McEnnedy Chicken Popcorn (Versch. Sorten mit Dip je 300g Lidl Plus 2.49),Lebensmittel,Tiefkühlkost,2.99,2025-06-18,2025-06-21,Lidl
McEnnedy Double Burger (Versch. Sorten je 300g),Lebensmittel,Fertiggerichte,2.99,2025-06-18,2025-06-21,Lidl
McEnnedy Burger Gurken (Je 670g/360g Abtropfgewicht),Lebensmittel,Konserven,1.49,2025-06-18,2025-06-21,Lidl
FAST FOOD @HOME Chickenburger (4er-Pack je 4x120g/600g),Lebensmittel,Tiefkühlkost,6.99,2025-06-18,2025-06-21,Lidl
McEnnedy BBQ Salat (Versch. Sorten je 350g/300g),Lebensmittel,Feinkostsalate,1.59,2025-06-18,2025-06-21,Lidl
McEnnedy Popcorn süß XXL (Je 500g),Lebensmittel,Snacks,2.49,2025-06-18,2025-06-21,Lidl
McEnnedy Jelly Beans (Versch. Sorten je 250g),Lebensmittel,Süßwaren,1.79,2025-06-18,2025-06-21,Lidl
Honigmelone (kg-Preis Ursprung Spanien/Italien Klasse I),Lebensmittel,Obst,1.29,2025-06-18,2025-06-21,Lidl
Strauchtomaten (lose kg-Preis Ursprung Niederlande/Belgien/Polen/Ungarn/Kroatien/Türkei Klasse I),Lebensmittel,Gemüse,0.89,2025-06-18,2025-06-21,Lidl
Wassermelone (kernarm kg-Preis Ursprung Spanien/Italien/Türkei/Portugal Klasse I),Lebensmittel,Obst,0.99,2025-06-18,2025-06-21,Lidl
Nektarinen (1 kg Ursprung Spanien/Italien/Griechenland Klasse I),Lebensmittel,Obst,2.29,2025-06-18,2025-06-21,Lidl
Olivia Ganzes Kaninchen (Mit Leber ca. 1.2 kg kg-Preis),Lebensmittel,Fleisch,9.99,2025-06-19,2025-06-21,Lidl
Metzgerfrisch Frisches Hähnchen-Hackfleisch (800g gewürzt),Lebensmittel,Fleisch/Geflügel,4.99,2025-06-19,2025-06-21,Lidl
Grillmeister Schweinenackensteaks (1 kg mariniert versch. Sorten),Lebensmittel,Fleisch,6.49,2025-06-19,2025-06-21,Lidl
Metzgerfrisch Cordon Bleu-Schnitte (1 kg Vom Schwein),Lebensmittel,Fleisch/Fertiggerichte,6.99,2025-06-19,2025-06-21,Lidl
Grillmeister Double Quarter Pounder Hamburger (452g gewürzt),Lebensmittel,Fleisch,4.99,2025-06-19,2025-06-21,Lidl
Fischerstolz MSC Backfisch (560g),Lebensmittel,Fisch/Tiefkühl,4.99,2025-06-19,2025-06-21,Lidl
Metzgerfrisch Premium Lammkeule in Scheiben (z.B. 260g),Lebensmittel,Fleisch,4.16,2025-06-19,2025-06-21,Lidl
Metzgerfrisch Ganzes Hähnchen (1.4 kg gewürzt ohne Innereien),Lebensmittel,Fleisch/Geflügel,6.39,2025-06-19,2025-06-21,Lidl
Metzgerfrisch Frischer Schweinebauch (Am Stück mit Knochen ca. 1.5 kg kg-Preis),Lebensmittel,Fleisch,5.49,2025-06-19,2025-06-21,Lidl
Tuc Cracker (100g versch. Sorten),Lebensmittel,Snacks/Gebäck,0.69,2025-06-19,2025-06-21,Lidl
Knorr Fix (je 31-49g versch. Sorten),Lebensmittel,Kochzutaten/Fix-Produkte,0.39,2025-06-19,2025-06-21,Lidl
Doritos (110g versch. Sorten),Lebensmittel,Snacks/Chips,0.99,2025-06-19,2025-06-21,Lidl
Nescafé Classic (200g versch. Sorten),Lebensmittel,Kaffee/Tee/Kakao,5.55,2025-06-19,2025-06-21,Lidl
Kerrygold extra (400g versch. Sorten),Lebensmittel,Butter/Margarine,3.33,2025-06-19,2025-06-21,Lidl
Kinder/Yogurette Eisspezialitäten (248g versch. Sorten),Lebensmittel,Eis/Tiefkühl,2.99,2025-06-19,2025-06-21,Lidl
Langnese Nogger/Klassiker (6er-Pack 548/482ml Lidl Plus),Lebensmittel,Eis/Tiefkühl,2.99,2025-06-19,2025-06-21,Lidl
Bifi Original (6x20g 120g versch. Sorten),Lebensmittel,Snacks/Wurstwaren,1.99,2025-06-19,2025-06-21,Lidl
Nestlé Cerealien (200-375g versch. Sorten),Lebensmittel,Frühstückscerealien,2.49,2025-06-19,2025-06-21,Lidl
Hosta Nippon Häppchen (225g Puffreis mit Milchschokolade Lidl Plus),Lebensmittel,Süßwaren,1.79,2025-06-19,2025-06-21,Lidl
Ültje Nussmischung (200/150g versch. Sorten),Lebensmittel,Snacks/Nüsse,1.69,2025-06-19,2025-06-21,Lidl
Zewa Toilettenpapier Ultra Soft (20x150 Blatt 4-lagig),Haushalt,Hygieneartikel,8.49,2025-06-19,2025-06-21,Lidl
Rotkäppchen Fruchtsecco Schwarze Johannisbeere (0.75l Lidl Plus),Getränke,Sekt/Prosecco,2.99,2025-06-19,2025-06-21,Lidl
Lenor Waschmittel (Pulver/Flüssig/Pods 76/90/100 WL Lidl Plus),Haushalt,Waschmittel/Reiniger,17.99,2025-06-19,2025-06-21,Lidl
Grillmeister Schweine-Spare Ribs (mariniert z.B. 750g),Lebensmittel,Fleisch,4.87,2025-06-20,2025-06-21,Lidl
Delverde Pasta (1kg versch. Sorten),Lebensmittel,Pasta/Nudeln,1.88,2025-06-20,2025-06-21,Lidl
Delverde Pasta (1kg versch. Sorten Lidl Plus),Lebensmittel,Pasta/Nudeln,1.59,2025-06-20,2025-06-21,Lidl
Volvic Naturelle (1.5l zzgl. 0.25 Pfand Lidl Plus),Getränke,Wasser,0.59,2025-06-20,2025-06-21,Lidl
Lätta Original (450g),Lebensmittel,Butter/Margarine,0.99,2025-06-20,2025-06-21,Lidl
Mixed Minis (400g 20 Stück),Lebensmittel,Süßwaren,3.69,2025-06-20,2025-06-21,Lidl
IGLO Schlemmer-Filet à la Bordelaise (380 g),Lebensmittel,Tiefkühlkost,2.69,2025-06-16,2025-06-21,Penny
IGLO Schlemmer-Filet à la Bordelaise (380 g) (mit PENNY App),Lebensmittel,Tiefkühlkost,2.29,2025-06-16,2025-06-21,Penny
IGLO 15 Fischstäbchen (450 g),Lebensmittel,Tiefkühlkost,2.69,2025-06-16,2025-06-21,Penny
IGLO 15 Fischstäbchen (450 g) (mit PENNY App),Lebensmittel,Tiefkühlkost,2.29,2025-06-16,2025-06-21,Penny
FUNNY-FRISCH Ofen Chips (versch. Sorten. 125 g),Lebensmittel,Snacks,0.99,2025-06-16,2025-06-21,Penny
FUNNY-FRISCH Chipsfrisch (versch. Sorten. 150 g),Lebensmittel,Snacks,0.99,2025-06-16,2025-06-21,Penny
ROTKÄPPCHEN Sekt (versch. Sorten. 0.75 l),Getränke,Sekt,2.99,2025-06-16,2025-06-21,Penny
ARLA Kærgården (versch. Sorten. 200 g),Lebensmittel,Butter & Margarine,1.79,2025-06-16,2025-06-21,Penny
PAMPERS Windeln Big Pack (versch. Größen. je Packung),Drogerie,Babybedarf,16.99,2025-06-16,2025-06-21,Penny
PAMPERS Windeln Big Pack (versch. Größen. je Packung) (mit PENNY App),Drogerie,Babybedarf,14.99,2025-06-16,2025-06-21,Penny
Nektarinen (Kl. I. je kg),Lebensmittel,Obst,3.49,2025-06-16,2025-06-21,Penny
Aprikosen (Kl. I. je 1-kg-Schale),Lebensmittel,Obst,3.33,2025-06-16,2025-06-21,Penny
Plattpfirsiche (Kl. I. je 1-kg-Schale),Lebensmittel,Obst,2.99,2025-06-16,2025-06-21,Penny
Dunkle kernlose Tafeltrauben (Kl. I. 500-g-Schale),Lebensmittel,Obst,1.99,2025-06-16,2025-06-21,Penny
Dunkle kernlose Tafeltrauben (Kl. I. 500-g-Schale) (mit PENNY App),Lebensmittel,Obst,1.69,2025-06-16,2025-06-21,Penny
Deutscher Broccoli (Kl. I. 500-g-Packung),Lebensmittel,Gemüse,1.11,2025-06-16,2025-06-21,Penny
NATURGUT Bio-Möhren (Kl. II. 1-kg-Beutel),Lebensmittel,Gemüse,1.29,2025-06-16,2025-06-21,Penny
Pfingstrosen (3 Stiele. je Bund),Blumen & Pflanzen,Schnittblumen,2.29,2025-06-16,2025-06-21,Penny
Sonnenblume (im 13-cm-Topf),Blumen & Pflanzen,Topfpflanzen,1.99,2025-06-16,2025-06-21,Penny
Schleierkraut (im 13-cm-Topf),Blumen & Pflanzen,Topfpflanzen,1.89,2025-06-16,2025-06-21,Penny
NATURGUT Deutsche Bio-Rispentomaten (Kl. II. 500-g-Packung),Lebensmittel,Gemüse,2.49,2025-06-16,2025-06-21,Penny
Snacktomaten-Mix (Kl. I. 300-g-Schale),Lebensmittel,Gemüse,1.49,2025-06-16,2025-06-21,Penny
Deutsche Mini-Cherry-Rispentomaten (Kl. I. 300-g-Schale),Lebensmittel,Gemüse,2.49,2025-06-16,2025-06-21,Penny
Deutsche Cocktail-Rispentomaten (Kl. I. 350-g-Schale),Lebensmittel,Gemüse,1.79,2025-06-16,2025-06-21,Penny
MÜHLENHOF REGIONAL Frisches Hähnchen-Brustfilet (600-g-Packung),Lebensmittel,Fleisch & Geflügel,4.99,2025-06-16,2025-06-21,Penny
Frische Hähnchenschenkel (gewürzt. 2000-g-Packung),Lebensmittel,Fleisch & Geflügel,6.99,2025-06-16,2025-06-21,Penny
Frische Hähnchenschenkel (gewürzt. 2000-g-Packung) (mit PENNY App),Lebensmittel,Fleisch & Geflügel,5.99,2025-06-16,2025-06-21,Penny
Frisches Puten-geschnetzeltes Züricher Art (400-g-Packung),Lebensmittel,Fleisch & Geflügel,3.79,2025-06-16,2025-06-21,Penny
MÜHLENHOF Frische Schweine-Minutensteaks (800-g-Packung),Lebensmittel,Fleisch & Schwein,5.79,2025-06-16,2025-06-21,Penny
GRILLPARTY Frische Puten-Steaks (mariniert Paprika. 550-g-Packung),Lebensmittel,Fleisch & Geflügel,4.99,2025-06-16,2025-06-21,Penny
BUTCHER'S Frisches T-Bone-Steak (z.B. 500 g),Lebensmittel,Fleisch & Rind,11.11,2025-06-16,2025-06-21,Penny
BUTCHER'S Frische Lammspiesse (mariniert. z.B. 275 g),Lebensmittel,Fleisch & Lamm,5.99,2025-06-16,2025-06-21,Penny
GÄUFELDER Pfefferbeißer (500 g),Lebensmittel,Wurstwaren,4.99,2025-06-16,2025-06-21,Penny
SAN FABIO Salami (versch. Sorten. 80 g),Lebensmittel,Wurstwaren,1.59,2025-06-16,2025-06-21,Penny
SAN FABIO Salami (versch. Sorten. 80 g) (mit PENNY App),Lebensmittel,Wurstwaren,1.19,2025-06-16,2025-06-21,Penny
MEISTER Schinkenwurst (800 g),Lebensmittel,Wurstwaren,3.99,2025-06-16,2025-06-21,Penny
MÜHLENHOF XXL Schinkenbockwurst (800 g),Lebensmittel,Wurstwaren,4.79,2025-06-16,2025-06-21,Penny
ABRAHAM Baguette Buffet (100 g),Lebensmittel,Wurstwaren,2.49,2025-06-16,2025-06-21,Penny
DREISTERN Gourmetrouladen (versch. Sorten. 500 g),Lebensmittel,Fertiggerichte,4.49,2025-06-16,2025-06-21,Penny
DELIKA Roasted Beef (versch. Sorten. 120 g),Lebensmittel,Wurstwaren,3.49,2025-06-16,2025-06-21,Penny
DELI REFORM Margarine Das Original (450 g),Lebensmittel,Butter & Margarine,1.29,2025-06-16,2025-06-21,Penny
BEL BRANDS Mini Babybel Original (9er-Netz. 180 g),Lebensmittel,Käse,2.79,2025-06-16,2025-06-21,Penny
BEL BRANDS Mini Babybel Original (9er-Netz. 180 g) (mit PENNY App),Lebensmittel,Käse,2.49,2025-06-16,2025-06-21,Penny
RÜGENWALDER MÜHLE Veganer Aufschnitt (versch. Sorten. 80 g),Lebensmittel,Vegan,1.11,2025-06-16,2025-06-21,Penny
PENNY Gouda gerieben (250 g),Lebensmittel,Käse,1.99,2025-06-16,2025-06-21,Penny
PENNY Gouda gerieben (250 g) (mit PENNY App),Lebensmittel,Käse,1.79,2025-06-16,2025-06-21,Penny
BRESSO Portionen (versch. Sorten. 8x15 g),Lebensmittel,Käse,1.29,2025-06-16,2025-06-21,Penny
BRESSO Frischkäse (versch. Sorten. 150 g),Lebensmittel,Käse,1.29,2025-06-16,2025-06-21,Penny
ST. MANG Allgäuer Rubius (180 g),Lebensmittel,Käse,1.99,2025-06-16,2025-06-21,Penny
ST. MANG Allgäuer Limburger (versch. Sorten. 200 g),Lebensmittel,Käse,1.99,2025-06-16,2025-06-21,Penny
COPPENRATH & WIESE Unsere Goldstücke (versch. Sorten. 450 g),Lebensmittel,Tiefkühlkost,2.29,2025-06-16,2025-06-21,Penny
COPPENRATH & WIESE Unsere Goldstücke (versch. Sorten. 450 g) (mit PENNY App),Lebensmittel,Tiefkühlkost,1.39,2025-06-16,2025-06-21,Penny
ANDERSSON'S Köttbullar (500 g),Lebensmittel,Tiefkühlkost,3.99,2025-06-16,2025-06-21,Penny
RAMA Cremefine (versch. Sorten je 250 ml),Lebensmittel,Kochzutaten,0.99,2025-06-16,2025-06-21,Penny
BÄRENMARKE Frischmilch (1.8% oder 3.8% Fett je 1 l),Lebensmittel,Milchprodukte,1.29,2025-06-16,2025-06-21,Penny
BÄRENMARKE Frischer Kakao (1.8% Fett im Milchanteil je 1 l),Lebensmittel,Milchprodukte,1.59,2025-06-16,2025-06-21,Penny
PENNY READY Smoothie (versch. Sorten je 250 ml zzgl 0.25 Pfand),Getränke,Säfte/Smoothies,1.29,2025-06-16,2025-06-21,Penny
EHRMANN Almighurt Joghurt (versch. Sorten je 150 g),Lebensmittel,Milchprodukte/Joghurt,0.49,2025-06-16,2025-06-21,Penny
MILPRIMA Pudding Gestrudelt (versch. Sorten je 150 g),Lebensmittel,Milchprodukte/Desserts,0.39,2025-06-16,2025-06-21,Penny
DR. OETKER Marmorette-Splits (versch. Sorten je 4 x 100 g),Lebensmittel,Milchprodukte/Desserts,1.49,2025-06-16,2025-06-21,Penny
DR. OETKER Paula Pudding (versch. Sorten je 4 x 125 g),Lebensmittel,Milchprodukte/Desserts,1.49,2025-06-16,2025-06-21,Penny
KINDER Maxi King (je 3 x 35 g),Lebensmittel,Süßwaren,1.29,2025-06-16,2025-06-21,Penny
RIOS Mini Waffelhörnchen (je 12 x 28 ml),Lebensmittel,Eis,1.99,2025-06-16,2025-06-21,Penny
SCHÖLLER Eis Big Sandwich (je 840 ml),Lebensmittel,Eis,3.79,2025-06-16,2025-06-21,Penny
SCHÖLLER Pirulo Kaktus (je 9 x 45 ml),Lebensmittel,Eis,3.79,2025-06-16,2025-06-21,Penny
PENNY ZUKUNFTSBAUER Joghurt (versch. Sorten je 500 g),Lebensmittel,Milchprodukte/Joghurt,0.95,2025-06-16,2025-06-21,Penny
PENNY ZUKUNFTSBAUER Butterkäse (in Scheiben je 150 g),Lebensmittel,Milchprodukte/Käse,1.79,2025-06-16,2025-06-21,Penny
PENNY ZUKUNFTSBAUER Butterkäse (gerieben je 100 g),Lebensmittel,Milchprodukte/Käse,1.29,2025-06-16,2025-06-21,Penny
PENNY ZUKUNFTSBAUER Frische Vollmilch (3.5% Fett je 1 l),Lebensmittel,Milchprodukte,1.19,2025-06-16,2025-06-21,Penny
PENNY ZUKUNFTSBAUER Schlag- oder Kochsahne (je 250 g),Lebensmittel,Milchprodukte/Sahne,1.35,2025-06-16,2025-06-21,Penny
PENNY ZUKUNFTSBAUER Fruchtjoghurt (Mild versch. Sorten je 450 g),Lebensmittel,Milchprodukte/Joghurt,1.19,2025-06-16,2025-06-21,Penny
NATURGUT ZUKUNFTSBAUER Bio Schmand (stichfest je 200 g),Lebensmittel,Milchprodukte,1.19,2025-06-16,2025-06-21,Penny
NATURGUT Bio Agavendicksaft (je 360 ml),Lebensmittel,Süßungsmittel,2.35,2025-06-16,2025-06-21,Penny
NATURGUT Bio Knäckebrot (versch. Sorten je 200 g),Lebensmittel,Brot/Backwaren,1.75,2025-06-16,2025-06-21,Penny
NATURGUT Bio Beeren-Knusper-Müsli (je 500 g),Lebensmittel,Frühstückscerealien,2.75,2025-06-16,2025-06-21,Penny
NATURGUT Bio Naturjoghurt (versch. Sorten je 500 g),Lebensmittel,Milchprodukte/Joghurt,1.15,2025-06-16,2025-06-21,Penny
NATURGUT Frische Bio Vollmilch (3.8% Fett je 1 l),Lebensmittel,Milchprodukte,1.25,2025-06-16,2025-06-21,Penny
NATURGUT Bio Mozzarella (je 200 g Abtropfgewicht 125 g),Lebensmittel,Milchprodukte/Käse,1.29,2025-06-16,2025-06-21,Penny
NATURGUT Bio Frischkäse (je 175 g),Lebensmittel,Milchprodukte/Frischkäse,1.49,2025-06-16,2025-06-21,Penny
NATURGUT Bio Aufschnitt (versch. Sorten je 70 g),Lebensmittel,Wurstwaren,2.29,2025-06-16,2025-06-21,Penny
NATURGUT Bio Dinkel-Teigware (versch. Sorten je 500 g),Lebensmittel,Pasta/Fertiggerichte,1.45,2025-06-16,2025-06-21,Penny
NATURGUT Bio Rote Bete (je 330 g Abtropfgewicht 220 g),Lebensmittel,Konserven/Gemüse,0.89,2025-06-16,2025-06-21,Penny
